transaction_id,timestamp,sender_account,receiver_account,amount_ghs,transaction_type,channel,agent_id,merchant_category,location_region,device_id,is_new_device,otp_requested,linked_bank_account,income_tier,personal_alert_threshold,label,attack_type
MOMO-TXN-640659,2025-11-21 21:34:51.122642,MOMO-GH-00058,MOMO-GH-00034,439.98,receive,app,,transfer,Eastern,DEV-9e01eb,False,True,BANK-GH-00058,low,1945.8,0,none
MOMO-TXN-371212,2025-11-21 22:07:43.161269,MOMO-GH-00054,MOMO-GH-00452,660.0,send,app,,transfer,Northern,DEV-517911,False,False,BANK-GH-00054,low,1794.87,0,none
MOMO-TXN-740774,2025-11-21 22:17:51.194871,MOMO-GH-00279,MOMO-GH-00064,296.84,bill_payment,app,,transfer,Ashanti,DEV-587da4,False,True,BANK-GH-00279,middle,2461.17,0,none
MOMO-TXN-764259,2025-11-21 22:19:18.148034,MOMO-GH-00480,MOMO-GH-00153,477.59,send,agent,AGT-UpperWest-0033,unknown,Upper West,DEV-4ced4c,False,False,BANK-GH-00480,low,1964.34,0,none
MOMO-TXN-704570,2025-11-21 22:34:48.184196,MOMO-GH-00308,MOMO-GH-00083,430.16,airtime,app,,food,Western,DEV-d1df4f,False,False,BANK-GH-00308,low,1238.01,0,none
MOMO-TXN-921861,2025-11-21 22:49:08.168844,MOMO-GH-00469,MOMO-GH-00107,248.07,send,agent,AGT-Eastern-0021,food,Eastern,DEV-680a88,False,False,BANK-GH-00469,low,1017.54,0,none
MOMO-TXN-605666,2025-11-21 22:50:01.167644,MOMO-GH-00193,MOMO-GH-00069,3509.61,withdraw,ussd,,airtime,Greater Accra,DEV-d39aa5,False,False,BANK-GH-00193,high,12035.85,0,none
MOMO-TXN-836333,2025-11-21 23:00:44.201129,MOMO-GH-00349,MOMO-GH-00090,337.5,send,ussd,,unknown,Volta,DEV-a8abcf,False,False,BANK-GH-00349,low,1887.99,0,none
MOMO-TXN-476536,2025-11-21 23:02:31.258067,MOMO-GH-00458,MOMO-GH-00377,791.78,airtime,agent,AGT-UpperWest-0078,airtime,Upper West,DEV-16f60c,False,False,BANK-GH-00458,low,2361.6,0,none
MOMO-TXN-726774,2025-11-21 23:10:07.373593,MOMO-GH-00224,MOMO-GH-00069,7350.72,transfer,app,,utility,Upper West,DEV-6dff15,False,False,BANK-GH-00224,high,26863.32,0,none
MOMO-TXN-757746,2025-11-21 23:24:34.214926,MOMO-GH-00397,MOMO-GH-00055,678.74,send,app,,utility,Eastern,DEV-1a65c8,False,False,BANK-GH-00397,low,1487.64,0,none
MOMO-TXN-119895,2025-11-22 00:02:13.246629,MOMO-GH-00336,MOMO-GH-00221,582.65,receive,agent,AGT-Western-0092,transfer,Western,DEV-b25da0,False,False,,middle,2941.44,0,none
MOMO-TXN-614382,2025-11-22 00:07:39.224066,MOMO-GH-00147,MOMO-GH-00495,1644.65,receive,app,,airtime,Upper West,DEV-69fddf,False,False,BANK-GH-00147,middle,5511.75,0,none
MOMO-TXN-230804,2025-11-22 00:26:20.305651,MOMO-GH-00124,MOMO-GH-00464,425.94,send,ussd,,retail,Northern,DEV-566237,False,False,BANK-GH-00124,low,2044.32,0,none
MOMO-TXN-729138,2025-11-22 00:50:29.309287,MOMO-GH-00105,MOMO-GH-00439,304.3,withdraw,ussd,,retail,Upper East,DEV-b617f5,False,False,BANK-GH-00105,low,1247.22,0,none
MOMO-TXN-256812,2025-11-22 00:52:57.173993,MOMO-GH-00309,MOMO-GH-00254,8729.99,send,app,,airtime,Eastern,DEV-709241,False,False,,high,29062.32,0,none
MOMO-TXN-483450,2025-11-22 01:08:30.343324,MOMO-GH-00280,MOMO-GH-00049,551.63,airtime,app,,food,Upper West,DEV-451cde,False,True,,low,2233.89,0,none
MOMO-TXN-799946,2025-11-22 01:50:54.371508,MOMO-GH-00409,MOMO-GH-00033,2308.64,withdraw,ussd,,food,Ashanti,DEV-9702a2,False,True,BANK-GH-00409,middle,8302.17,0,none
MOMO-TXN-845476,2025-11-22 02:11:48.256211,MOMO-GH-00457,MOMO-GH-00038,2584.54,receive,app,,unknown,Brong-Ahafo,DEV-dcf72e,False,False,BANK-GH-00457,middle,5246.73,0,none
MOMO-TXN-518612,2025-11-22 02:13:33.324315,MOMO-GH-00369,MOMO-GH-00479,702.63,airtime,app,,unknown,Upper East,DEV-1432fc,False,False,BANK-GH-00369,low,1637.58,0,none
MOMO-TXN-652266,2025-11-22 02:27:47.214307,MOMO-GH-00086,MOMO-GH-00361,518.44,send,ussd,,food,Upper East,DEV-3ccc00,False,False,BANK-GH-00086,low,1411.86,0,none
MOMO-TXN-907750,2025-11-22 02:53:46.209474,MOMO-GH-00429,MOMO-GH-00241,759.75,bill_payment,agent,AGT-Ashanti-0056,food,Ashanti,DEV-3c41b3,False,True,BANK-GH-00429,low,2135.52,0,none
MOMO-TXN-546399,2025-11-22 03:13:25.259698,MOMO-GH-00307,MOMO-GH-00158,608.69,transfer,ussd,,airtime,Volta,DEV-b14f36,False,False,,low,1524.48,0,none
MOMO-TXN-442838,2025-11-22 03:40:22.223306,MOMO-GH-00207,MOMO-GH-00408,1389.71,send,app,,transfer,Central,DEV-5155ed,False,True,BANK-GH-00207,middle,4281.42,0,none
MOMO-TXN-465848,2025-11-22 03:42:08.286039,MOMO-GH-00423,MOMO-GH-00065,304.42,receive,ussd,,retail,Brong-Ahafo,DEV-d19317,False,False,BANK-GH-00423,low,1204.08,0,none
MOMO-TXN-481237,2025-11-22 03:43:33.291908,MOMO-GH-00072,MOMO-GH-00371,750.64,bill_payment,agent,AGT-GreaterAccra-0035,transfer,Greater Accra,DEV-1d80dc,False,True,BANK-GH-00072,low,2054.7,0,none
MOMO-TXN-403445,2025-11-22 03:52:40.020147,MOMO-GH-00169,MOMO-GH-00120,482.83,send,ussd,,unknown,Upper East,DEV-5a92b5,False,False,BANK-GH-00169,low,1766.88,0,none
